chapter_name,qns
Names of numbers,"How many words are there in the sentence below? ""Jingle bells, jingle bells, jingle all the way"""
Names of numbers,The number sixty-six in digit is ____
Names of numbers,The number eighty-one in digit is ____
Names of numbers,The number twenty-one in digit is ____
Names of numbers,The number fifty-five in digit is ____
Names of numbers,The number sixty-nine in digit is ____
Names of numbers,The number forty-six in digit is ____
Names of numbers,The number thirty-nine in digit is ____
Names of numbers,The number sixty-eight in digit is ____
Names of numbers,The number seventy-seven in digit is ____
Names of numbers,The number forty-four in digit is ____
Names of numbers,The number five hundred and fifty-five in digit is ____
Names of numbers,The number six hundred and fifty-eight in digit is ____
Names of numbers,The number seven hundred and forty-two in digit is ____
Names of numbers,The number five hundred and eighty in digit is ____
Names of numbers,The number three hundred and seventy-five in digit is ____
Names of numbers,The number five hundred and nine in digit is ____
Names of numbers,The number one hundred and fifty-seven in digit is ____
Names of numbers,The number two hundred and sixty-one in digit is ____
Names of numbers,The number six hundred and forty in digit is ____
Names of numbers,The number seven hundred and ninety-three in digit is ____
Names of numbers,45 is a _____ number.
Names of numbers,46th is a _____ number.
Names of numbers,77 is a _____ number.
Names of numbers,8th is a _____ number.
Names of numbers,67 is a _____ number.
Names of numbers,88th is a _____ number. 
Names of numbers,68 is a _____ number.
Names of numbers,86th is a_____ number.
Names of numbers,32 is a _____ number.
Names of numbers,71st is a _____ number.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Patterns,Study the pattern shown here. Predict what comes next.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Add the numbers.
Addition,Select the correct option to complete the equation below: __________ = 4
Addition,Select the correct option to complete the equation below: __________= 8
Addition,Select the correct option to complete the equation below: __________ = 6
Addition,Select the correct option to complete the equation below: __________ = 7
Addition,Select the correct option to complete the equation below: __________ = 10
Addition,Select the correct option to complete the equation below: __________ = 3
Addition,Select the correct option to complete the equation below: __________ = 9
Addition,Select the correct option to complete the equation below: __________ = 6
Addition,Select the correct option to complete the equation below: __________ = 2
Addition,Select the correct option to complete the equation below: __________ = 1
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""Five plus two is equals to seven.""  Note to students: Give your answer in the following form without spaces - Example answer:1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""Two plus two is equals to four.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""One plus four is equals to five.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""Three plus six is equals to nine.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""Two plus one is equals to three.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""Six plus two is equals to eight.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""One plus zero is equals to one.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""Eight plus two is equals to ten.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""Five plus one is equals to six.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators. ""Four plus three is equals to seven.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,Fill in the blank with the correct answer: 5 + 5 = ____
Addition,Fill in the blank with the correct answer: 2 + 2 = ____
Addition,Fill in the blank with the correct answer: 7 + 7 = ____
Addition,Fill in the blank with the correct answer: 8 + 8 = ____
Addition,Fill in the blank with the correct answer: 9 + 9 = ____
Addition,Fill in the blank with the correct answer: 4 + 4 = ____
Addition,Fill in the blank with the correct answer: 1 + 1 = ____
Addition,Fill in the blank with the correct answer: 6 + 6 = ____
Addition,Fill in the blank with the correct answer: 10 + 10 = ____
Addition,Fill in the blank with the correct answer: 3 + 3 = ____
Addition,Fill in the blank with the correct answer: 4+ 6 =____
Addition,Fill in the blank with the correct answer: 2+ 2 =_____
Addition,Fill in the blank with the correct answer: 5+ 1 = _____
Addition,Fill in the blank with the correct answer: 6+ 2 =____
Addition,Fill in the blank with the correct answer: 4+ 3 = _____
Addition,Fill in the blank with the correct answer: 2+ 8 = _____
Addition,Fill in the blank with the correct answer: 9+ 1 =____
Addition,Fill in the blank with the correct answer: 2+ 4 =____
Addition,Fill in the blank with the correct answer: 7+ 3 = ____
Addition,Fill in the blank with the correct answer: 5+ 5 =____
Addition,Add:
Addition,Add:
Addition,Add:
Addition,Add:
Addition,Add:
Addition,Add:
Addition,Add:
Addition,Add:
Addition,Add:
Addition,Add:
Addition,Which number sentence best represents the addition of red apples and green apples shown in the image?
Addition,Which number sentence best represents the addition of barbie dolls and ken dolls shown in the image?
Addition,Which number sentence best represents the addition of globes and suns shown in the image?
Addition,Which number sentence best represents the addition of yellow mangoes and green mangoes shown in the image?
Addition,Which number sentence best represents the addition of brown teddy bears and pink teddy bears shown in the image?
Addition,Which number sentence best represents the addition of yellow flowers and pink flowers shown in the image?
Addition,Which number sentence best represents the addition of clear potted plants and brown potted plants shown in the image?
Addition,Which number sentence best represents the addition of the two versions of pandas shown in the image?
Addition,Which number sentence best represents the addition of ambulances and mini-buses shown in the image?
Addition,"Which number sentence best represents the addition of chrome icons and firefox icons, shown in the image?"
Addition,Choose the correct answer. 8 + ____ = 26
Addition,Choose the correct answer. 21 + ____ = 30
Addition,Choose the correct answer. 12 + ____ = 24
Addition,Choose the correct answer. 13 + ____ = 22
Addition,Choose the correct answer. 16 + ____ = 21
Addition,Choose the correct answer 58 + ____ = 58
Addition,Choose the correct answer. 8 + ____ = 48
Addition,Choose the correct answer. 88 + ___ = 90
Addition,Choose the correct answer. 77 + ____ = 79
Addition,Choose the correct answer. 91 + ____ = 95
Addition,Fill in the blank with the correct answer: 6 + 0 = ____
Addition,Fill in the blank with the correct answer: 3 + 0 = ____
Addition,Fill in the blank with the correct answer: 0 + 8 = ____
Addition,Fill in the blank with the correct answer: 9 + 0 = ____
Addition,Fill in the blank with the correct answer: 16 + 0 = ____
Addition,Fill in the blank with the correct answer: 0 + 50 = ____
Addition,Fill in the blank with the correct answer: 26 + 0 = ____
Addition,Fill in the blank with the correct answer: 68 + 0 = ____
Addition,Fill in the blank with the correct answer: 88 + 0 = ____
Addition,Fill in the blank with the correct answer: 0 + 98 = ____
Addition,John walked 2 kilometres the first day and 3 kilometres on the second day. How many kilometres did John walk in two days?
Addition,Harry plucked 2 apples from the tree and picked 1 from the ground. How many apples did Harry have in total?
Addition,It took Superman 2 minutes to fly around the Earth and3 minutes to reach the moon. How many minutes did Superman fly in total?
Addition,There are 2 white ducks and 8 brown ducks in the pond. How many ducks are there in total?
Addition,Henry won 5 dollars in poetry writing and 10 dollars in essay writing. How many dollars did Henry win in total?
Addition,"There are 2 birds, 1 zebra, 3 monkeys and 2 tigers in the zoo. How many animals are there in the zoo?"
Addition,A human has 5 fingers on the right hand and 5 fingers on the left hand. How many fingers does a human have in total?
Addition,"A monkey stole 2 bananas from a fruit shop, and found 1 banana on the way back to the forest. How many bananas does the monkey have now?"
Addition,2 white rats and 7 black rats ate all the cheese in the kitchen. How many rats were there in total?
Addition,Ronald has 5 candies in his left pocket and 3 in his right pocket. How many candies does Ronald have in total?
Addition,Fill in the missing number to complete the number sentence: 5 + ___ = 10
Addition,Fill in the missing number to complete the number sentence: 10 +___= 20
Addition,Fill in the missing number to complete the number sentence: 4 +___= 6
Addition,Fill in the missing number to complete the number sentence: 7 +___= 11
Addition,Fill in the missing number to complete the number sentence: 16 +___= 23
Addition,Fill in the missing number to complete the number sentence: ___+ 8 = 19
Addition,Fill in the missing number to complete the number sentence: 20 +___= 37
Addition,Fill in the missing number to complete the number sentence: ___+ 7 = 9
Addition,Fill in the missing number to complete the number sentence: ___+ 6 = 10
Addition,Fill in the missing number to complete the number sentence: ___+ 3 = 8
Addition,Harry had 7 sweets and his friend gave him another 2 sweets. How many sweets does Harry have now? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2
Addition,"A man was selling bananas, and while he was away the monkeys ate all of them. The first monkey ate 4 bananas and the second monkey ate 3 bananas. How many bananas were eaten? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 "
Addition,"A little girl was carrying a basket of fruits to her grandma's house. On the way, she gave 4 fruits to a little girl and 4 fruits to a little boy. How many fruits did she give away? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 "
Addition,There are 2 black ducks and 8 white ducks swimming in the pond. How many ducks are swimming in the pond? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 
Addition,Henry won 3 gold medals in swimming and 4 silver medals in other sports. How many medals did he win in total? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 
Addition,Miriam painted 2 pots in school and 2 pots at home. How many pots did Miriam paint? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 
Addition,David danced for 2 hours in the morning and 3 hours in at noon. How many hours did David dance in a day? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 
Addition,Joshua bought 5 candies and got 1 candy for free. How many candies does Joshua have now? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 
Addition,Joseph has 5 books in school and 4 books at home. How many books does Joseph have in total? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 
Addition,"George has 6 monkeys, 1 tiger, 2 parrots and 1 lion in his zoo. How many animals does George have in his zoo? Write an addition number sentence that best describes the scenario above.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 "
Addition,Fill in the blank below so that the equation below is balanced: 2 + 2 = ____ + 1
Addition,Fill in the blank below so that the equation below is balanced: 6 + 2 = ____ + 1
Addition,Fill in the blank below so that the equation below is balanced: ____ + 3 = 2 + 5
Addition,Fill in the blank below so that the equation below is balanced: 2 + ____ = 5 + 5
Addition,Fill in the blank below so that the equation below is balanced: 3 + ____ = 2 + 7
Addition,Fill in the blank below so that the equation below is balanced: 2 + 8 = 5 + ____
Addition,Fill in the blank below so that the equation below is balanced: 7 + 9 = ____ + 8
Addition,Fill in the blank below so that the equation below is balanced: 2 + ___ = 6 + 5
Addition,Fill in the blank below so that the equation below is balanced: 9 + 6 = ____ + 7
Addition,Fill in the blank below so that the equation below is balanced: 2 + 3 = 4 + ____
Addition,Add: 5 + 5 + 2 = ____
Addition,Add: 1 + 2 + 8 = ____
Addition,Add: 7 + 9 + 0 = ____
Addition,Add: 3 + 2 + 4 = ___
Addition,Add: 0 + 0 + 8 = ___
Addition,Add: 4 + 4 + 2 + 0 = ___
Addition,Add: 9 + 0 + 8 = ___
Addition,Add: 6 + 2 + 7 = ___
Addition,Add: 9 + 2 + 0 = ___
Addition,Add: 9 + 9 + 0 = ___
Addition,"A boy who was very hungry went to the cafeteria and ate 2 pancakes, 1 cup of coffee and 4 egg rolls. How many items did he consume in total?"
Addition,"Tintin went for a walk in the morning with his dog. He walked for 2 kilometres on the road and 3 kilometres up the hill, and he walked another 5 kilometres to come back. How many kilometres did Tintin walk?"
Addition,"In one day, Anthony drove his car 5 miles in the morning, 3 miles at noon, and 5 miles again in the evening. How many miles did he drive in one day?"
Addition,"In a garden, there was a big apple tree with lots of ripe apples. 4 girls plucked from the tree, and 2 other girls plucked again the very next day. The following day, 6 boys plucked apples from the tree. How many children plucked apples from the tree in total?"
Addition,"A hunter killed 4 deer, 5 birds and 1 bear. How many animals did the hunter kill?"
Addition,"There are 5 cars, 2 buses and 6 motor bikes on the road. How many vehicles are there on the road in total?"
Addition,"Selena's hobby was collecting barbie dolls. On her birthday she was gifted with 2 barbie dolls from her dad, and 3 barbie dolls from her brother. She also recieved 6 barbie dolls from her mom. How many dolls does Selena have now?"
Addition,"Harley had solved 4 math problems in the morning, 5 math problems in the afternoon, and 6 math problems in the evening. How many problems did Harley solve in a day?"
Addition,"Andrew had a party to celebrate his birthday. 6 classmates, 3 roommates, and 4 of neighbours attended the party. How many people attended Andrew's birthday?"
Addition,"Hannah went  to 2 different shops in the morning to buy vegetables. She went to 4 different shops in the afternoon to buy fruits,and again went to 5 different shops in the evening to purchase clothes. How many shops did Hannah visit on that day?"
Subtraction,Fill in the blank with the correct answer: 6 − 2 = ____
Subtraction,Fill in the blank with the correct answer: 5 − 1 = ____
Subtraction,Fill in the blank with the correct answer: 8 − 4 = ___
Subtraction,Fill in the blank with the correct answer: 7 − 4 = ___
Subtraction,Fill in the blank with the correct answer: 8 − 1 = ____
Subtraction,Fill in the blank with the correct answer: 8 − 1 = ___
Subtraction,Fill in the blank with the correct answer: 6 − 2 = ___
Subtraction,Fill in the blank with the correct answer: 10 − 5 = ____
Subtraction,Fill in the blank with the correct answer: 5 − 3 = ____
Subtraction,Fill in the blank with the correct answer: 8 − 7 = ____
Subtraction,2 = _____
Subtraction,4 = _____
Subtraction,6 = _____
Subtraction,2 = _____
Subtraction,5 =_____
Subtraction,1 = _____
Subtraction,8 = _____
Subtraction,3 = _____
Subtraction,7 = _____
Subtraction,10 = _____
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""Five minus two equals three."" Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2"
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""Eight minus two equals six."" Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2 "
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""Four minus two equals two.""  Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2 "
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""Nine minus five equals four.""  Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2  "
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""Seven minus six equals one.""   Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2  "
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""One minus zero equals one.""  Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2 "
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""Five minus three equals two.""  Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2"
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""10 minus two equals eight.""  Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2 "
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""Six minus one equals five.""  Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2 "
Subtraction,"Rewrite the sentence below in numeric form with the necessary operators. ""Eight minus four equals four.""  Note to students: Give your answer in the following form without spaces -Example answer: 1+1=2 "
Subtraction,Subtract: 6 − 3 = ____
Subtraction,Subtract: 10 − 5 = ____   
Subtraction,Subtract: 4 − 2 = ____
Subtraction,Subtract: 8 − 4 = _____ 
Subtraction,Subtract: 14 − 7 = ____
Subtraction,Subtract: 12 − 6 = ____
Subtraction,Subtract: 20 − 10 = ____ 
Subtraction,Subtract: 2 − 1 = ____
Subtraction,Subtract: 16 − 8 = ____
Subtraction,Subtract: 18 − 9 = ____
Subtraction,Subtract: 10 − 9 = ____
Subtraction,Subtract: 16 − 6 = ____
Subtraction,Subtract: 10 − 6 =____
Subtraction,Subtract: 14 − 6 = ____
Subtraction,Subtract: 17 − 7 = ____
Subtraction,Subtract: 18 − 4 = ____
Subtraction,Subtract: 11 − 2 = ____
Subtraction,Subtract: 9 − 2 = ____
Subtraction,Subtract: 13 − 8 = ____
Subtraction,Subtract: 15 − 2 = ____
Subtraction,Study the image and subtract.
Subtraction,Study the image and subtract.
Subtraction,Study the image and subtract.
Subtraction,Study the image and subtract.
Subtraction,Study the image and subtract.
Subtraction,Study the image and subtract. 8 − 2 = _____
Subtraction,Study the image and subtract. 9 − 6 = _____
Subtraction,Study the image and subtract. 6 − 2 = _____
Subtraction,Study the image and subtract. 5 − 3 = _____
Subtraction,Study the image and subtract. 6 − 3 = _____
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1
Subtraction,Subtract: 6 − 6 = ____
Subtraction,Subtract: 5 − 5 = ____
Subtraction,Subtract: 10 − 0 = ____
Subtraction,Subtract: 9 − 9 = ____
Subtraction,Subtract: 8 − 0 = ____
Subtraction,Subtract: 1 − 0 = ____
Subtraction,Subtract: 7 − 7 = ____
Subtraction,Subtract: 4 − 4 = ____ 
Subtraction,Subtract: 2 − 0 = ____
Subtraction,Subtract: 8 − 8 = _____
Subtraction,15 kids went out of the classroom to play. 8 of them were exhausted and went back inside. How many of them remained outside?
Subtraction,"One rainy day, 17 children walked to school. 11 children had umbrellas. How many children got wet?"
Subtraction,Shelly had 8 candies at first. She ate 2 candies. How many candies did she have left?
Subtraction,An empty school bus picked up a total of 18 children from a school. 6 children alighted when the bus stopped at Greenhill Station. How many children remained on the bus?
Subtraction,"There were 6 fish in a fish tank at first. Subsequently, 2 died. How many fish were there in the tank in the end? "
Subtraction,Fill in the blanks. 15 − ____ = 10
Subtraction,Fill in the blanks. 17 − ____ = 7
Subtraction,Fill in the blanks. 18 − ____ = 6
Subtraction,Fill in the blanks. 10 − ____ = 1
Subtraction,Fill in the blank. ____ − 9 = 6
Subtraction,Fill in the blank. 20 − ____ = 10
Subtraction,Fill in the blank. 14 − ____ = 11
Subtraction,Fill in the blank. _____ − 3 = 15
Subtraction,Fill in the blank. 12 − ____ = 8
Subtraction,Fill in the blank. 12 − ____ = 6
Subtraction,"Olivia has 11 marbles in her collection. If she gives 8 marbles to her best friend,how many marbles will she have left? Write a subtraction number sentence that fits the story above.  Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1 "
Subtraction,"Teacher Jenny has 18 chocolates. There are 15 students in her class. If she gives one chocolate to each student,how many chocolates would she have left? Write a subtraction number sentence that fits the story above.  Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1 "
Subtraction,There were 6 swans swimming in a pond. 2 were black in colour and the rest were white. How many swans were white? Write a subtraction number sentence that fits the story above.  Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1 
Subtraction,A mother has 7 daughters. 4 of them got married. How many of her daughters remain unmarried? Write a subtraction number sentence that fits the story above.   Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1 
Subtraction,Lea has 12 colour pencils in a box. She gave 5 colour pencils to her friend. How many colour pencils did she have left? Write a subtraction number sentence that fits the story above.   Note to students: Give your answer in the following form without spaces -Example answer: 2-1=1 
Subtraction,Which number makes the equation complete? 7−1  = ____ − 0 
Subtraction,Which number makes the equation complete? 9 − 1 = ____ − 0
Subtraction,Which number makes the equation complete? ____ − 5 = 5 − 1
Subtraction,Which number makes the equation complete? 7 − ____= 8 − 5
Subtraction,Which number makes the equation complete? 8 − 1 = ____ − 2
Subtraction,Which number makes the equation complete? 16 − 8 = ____ − 1
Subtraction,Which number makes the equation complete? ____ − 1 = 8 − 3
Subtraction,Which number makes the equation complete? ____ − 2 = 1 − 1
Subtraction,Which number makes the equation complete? 9 − ____ = 8 − 1
Subtraction,Which number makes the equation complete? 9 − 2 = 8 − ____
Addition,Add: 20 + 40 = ____
Addition,Add: 60 + 30 = ____
Addition,Add: 30 + 30 = ____
Addition,Fill in the blank with the correct answer: ____ + 80 = 90
Addition,Add: 20 + 50 = ____
Addition,Fill in the blank with the correct answer: ____ + 30 = 40
Addition,Fill in the blank with the correct answer: 20 + ____ = 30
Addition,Fill in the blank with the correct answer: ____ + 30 = 80
Addition,Add: 70 + 10 = ____
Addition,Add: 10 + 10 = ____
Addition,Choose the correct answer: 6 + 10 = ____
Addition,Choose the correct answer: 7 + 22 = ____
Addition,Choose the correct answer: 9 + 15 = ____
Addition,Choose the correct answer: 7 + 21 = ____
Addition,Choose the correct answer: 8 + 18 = ____
Addition,Choose the correct answer: 12 + 2 = ____
Addition,Choose the correct answer: 14 + 9 = ____
Addition,Choose the correct answer: 14 + 2 = ____
Addition,Choose the correct answer: 22 + 3 = ____
Addition,Choose the correct answer: 6 + 11 = ____
Addition,Add: 16 + 7 = ____
Addition,Add: 19 + 9 = ____
Addition,Add: 17 + 5 = ____
Addition,Add: 9 + 26 = ____
Addition,Add: 4 + 55 =  ____
Addition,Add: 44 + 6 = ____
Addition,Add: 56 + 5 = ____
Addition,Add: 49 + 8 = ____
Addition,Add: 9 + 68 = ____
Addition,Add: 39 + 9 = ____
Addition,Select the correct answer: 44 + 22 = ____
Addition,Select the correct answer: 65 + 11 = ____
Addition,Select the correct answer: 85 + 10 = ____
Addition,Select the correct answer: 44 + 13 = ____
Addition,Select the correct answer: 72 + 10 = ____
Addition,Select the correct answer: 81 + 10 = ____
Addition,Select the correct answer: 48 + 14 = ____
Addition,Select the correct answer: 39 + 33 = ____
Addition,Select the correct answer: 35 + 29 = ____
Addition,Select the correct answer: 81 + 11 = ____
Addition,Write the addition number sentence that best describes the image below.
Addition,Write the addition number sentence that best describes the image below.
Addition,Write the addition number sentence that best describes the image below.
Addition,Write the addition number sentence that best describes the image below.
Addition,Write the addition number sentence that best describes the image below.
Addition,Write the addition number sentence that best describes the image below.
Addition,Write the addition number sentence that best describes the image below.  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2
Addition,Write the addition number sentence that best describes the image below.
Addition,Write the addition number sentence that best describes the image below.
Addition,Write the addition number sentence that best describes the image below.
Addition,Fill in the blank with the correct answer. 8 + ____ = 16 
Addition,Fill in the blank with the correct answer. 12 + ____ = 24 
Addition,Fill in the blank with the correct answer. 50 + ____ = 80
Addition,Fill in the blank with the correct answer. 55 + ____ = 75
Addition,Fill in the blank with the correct answer. 60 + ____ = 90
Addition,Choose the correct answer: 4 + ____ = 8
Addition,Choose the correct answer: 7 + ____ = 12
Addition,Choose the correct answer: 9 + ____ = 10
Addition,Choose the correct answer: 11 + ____ = 15
Addition,Choose the correct answer: 7 + ____ = 13
Addition,Choose the correct answer: 8 + ____ = 18
Addition,Choose the correct answer: 3 + ____ = 5
Addition,Choose the correct answer: 7 + ____ = 14
Addition,Choose the correct answer: 3 + ____ = 6
Addition,Choose the correct answer: 9 + ____ = 16
Addition,Carl bought 5 pens from a stationery shop. The shop keeper gave him another 2 pens for free. How many pens does Carl have now?
Addition,"There were 15 old books in Harry's personal library in his house. On his birthday, he recieved 3 new booksand added them to his library. How many books are there in Harry's library now?"
Addition,"There were 13 football players in a team. 6 players were added as substitute players. Including the substitutes, how many players are there now in the team?"
Addition,Rick scored 6 goals in his first football match. He scored 3 goals in his second football match. How many goals did he score in his first two matches?
Addition,"On Monday morning, it rained for 5 hours. It rained again for another 2 hours in the night. How many hours did it rain on Monday?"
Addition,Choose the correct answer so that the equation below is balanced: 3 + 4 = 5 + ____
Addition,Choose the correct answer so that the equation below is balanced: 2 + 3 = ____ + 4
Addition,Choose the correct answer so that the equation below is balanced: ____ + 5 = 6 + 3
Addition,Choose the correct answer so that the equation below is balanced: 5 + ____ = 4 + 6
Addition,Choose the correct answer so that the equation below is balanced: 6 + 7 = 9 + ____
Addition,Choose the correct answer so that the equation below is balanced: ____ + 6 = 7 + 3
Addition,Choose the correct answer so that the equation below is balanced: 7 + 5 = 10 + ____
Addition,Choose the correct answer so that the equation below is balanced: 5 + ____ = 6 + 9
Addition,Choose the correct answer so that the equation below is balanced: 5 + 11 = 7 + ____
Addition,Choose the correct answer so that the equation below is balanced: 14 + ____ = 8 + 8
Addition,"Rewrite the sentence below in numeric form with the necessary operators: ""Eight plus five is equals to thirteen.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators: ""Nine plus two is eleven.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators: ""Ten plus five is fifteen.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators: ""Eleven plus one is twelve.""  Note to students: Give your answer in the following form without spaces - Example answer: 1+1=2 "
Addition,"Rewrite the sentence below in numeric form with the necessary operators:""Seventeen plus seven is twenty-four."" Note to students:Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators:""Nine plus four is thirteen."" Note to students:Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators:""Nineteen plus four is twenty-three."" Note to students:Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators:""Twelve plus two is fourteen."" Note to students:Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators:""Fifteen plus four is nineteen."" Note to students:Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,"Rewrite the sentence below in numeric form with the necessary operators:""Ten plus six is sixteen."" Note to students:Give your answer in the following form without spaces - Example answer: 1+1=2"
Addition,Choose the correct answer so that the equation below is balanced: ____ + 6 = 28 + 1
Addition,Choose the correct answer so that the equation below is balanced: ____ + 9 = 22 + 4
Addition,Choose the correct answer so that the equation below is balanced: 18 + ____ = 21 + 4 
Addition,Choose the correct answer so that the equation below is balanced: 11 + ____ = 13 + 1
Addition,Choose the correct answer so that the equation below is balanced: 25 + ____ = 22 + 5
Addition,Choose the correct answer so that the equation below is balanced: 55 + 6 = 59 + ____
Addition,Choose the correct answer so that the equation below is balanced: 35 + 7 = 39 + ____
Addition,Choose the correct answer so that the equation below is balanced: 16 + 6 = ____ + 8
Addition,Choose the correct answer so that the equation below is balanced: 14 + 2 = ____ + 6
Addition,Choose the correct answer so that the equation below is balanced: ____ + 3 = 19 + 9
Addition,Add: 12 + 6 + 1 = ____
Addition,Add: 18 + 4 + 4 = ____
